"","ENCFF012JXJ","ENCFF014RBU","ENCFF027VZK","ENCFF030NYG","ENCFF048JKT","ENCFF066XDW","ENCFF083KVY","ENCFF100ERQ","ENCFF103IOJ","ENCFF116EXQ","ENCFF127GYQ","ENCFF166OZW","ENCFF195PBG","ENCFF199FYD","ENCFF199WGD","ENCFF215YWS","ENCFF261ZWR","ENCFF303TVZ","ENCFF305ICK","ENCFF306SRV","ENCFF328QLX","ENCFF332PGQ","ENCFF339KUO","ENCFF341HWZ","ENCFF372DRC","ENCFF391DVL","ENCFF394DLH","ENCFF414JLN","ENCFF433PFN","ENCFF455YHJ","ENCFF461FGJ","ENCFF490VYC","ENCFF492YMU","ENCFF534CKB","ENCFF556JBS","ENCFF556PIY","ENCFF557HJB","ENCFF609KOY","ENCFF632MBO","ENCFF677KJB","ENCFF689AXJ","ENCFF710VEH","ENCFF711OSR","ENCFF721SDD","ENCFF761MGJ","ENCFF807AKG","ENCFF817QHW","ENCFF833FTF","ENCFF868VSY","ENCFF909FRA","ENCFF931XAL","ENCFF939TZS","ENCFF967ACD","ENCFF976ZVG"
"-240","0.6861160","0.5021139","0.5402115","0.6227515","0.6630435","0.7502875","0.7590229","0.6297007","0.6329386","0.5014607","0.3354712","0.5423557","0.7162637","0.6070039","0.7168227","0.6456777","0.5101160","0.7601457","0.4144900","0.4928175","0.4794569","0.7188893","0.6178562","0.7802305","0.6902805","0.5118592","0.5969384","0.7817391","0.7694346","0.4386430","0.6775315","0.6101944","0.6243118","0.5792346","0.7645604","0.5744339","0.7714231","0.5221193","0.5797717","0.6392023","0.4170816","0.5332676","0.7727056","0.4906573","0.5764948","0.6273357","0.7688651","0.5252023","0.5331065","0.4920037","0.8074017","0.3900389","0.6496910","0.7860021"
"-239","0.6867758","0.5019729","0.5412334","0.6240182","0.6635694","0.7513551","0.7600088","0.6308519","0.6326695","0.5009526","0.3351091","0.5425866","0.7168837","0.6070894","0.7168227","0.6459445","0.5097774","0.7606660","0.4159411","0.4929089","0.4798107","0.7188111","0.6182796","0.7808166","0.6905414","0.5127631","0.5975526","0.7826087","0.7696555","0.4367877","0.6784007","0.6103902","0.6242231","0.5793553","0.7646978","0.5744339","0.7714231","0.5224795","0.5792408","0.6390478","0.4176852","0.5336114","0.7733418","0.4903959","0.5777320","0.6272760","0.7694593","0.5257416","0.5335962","0.4917490","0.8095330","0.3901268","0.6502847","0.7876988"
"-238","0.6868583","0.5023957","0.5415889","0.6250317","0.6637447","0.7522585","0.7600635","0.6312356","0.6332078","0.5014607","0.3354712","0.5431871","0.7175036","0.6074742","0.7181143","0.6462113","0.5095234","0.7622268","0.4161484","0.4930459","0.4804299","0.7184982","0.6192109","0.7823794","0.6917156","0.5128062","0.5971746","0.7834783","0.7714223","0.4373178","0.6788353","0.6104392","0.6246670","0.5792648","0.7652473","0.5747019","0.7721959","0.5228069","0.5795947","0.6402844","0.4169307","0.5339552","0.7735009","0.4903959","0.5789691","0.6280521","0.7708457","0.5262074","0.5333900","0.4916471","0.8105018","0.3901561","0.6505276","0.7889714"
"-237","0.6870232","0.5022548","0.5417222","0.6253695","0.6635694","0.7534905","0.7600635","0.6316193","0.6340151","0.5013337","0.3355229","0.5435104","0.7181236","0.6076025","0.7181143","0.6459445","0.5100313","0.7611863","0.4168740","0.4935026","0.4808721","0.7189675","0.6195496","0.7831608","0.6930202","0.5134519","0.5971746","0.7817391","0.7712014","0.4378479","0.6792699","0.6108309","0.6244006","0.5797171","0.7659341","0.5738979","0.7730654","0.5223157","0.5801257","0.6410574","0.4163271","0.5340240","0.7744552","0.4923559","0.5810309","0.6279028","0.7718360","0.5266732","0.5338024","0.4919018","0.8124394","0.3908588","0.6511753","0.7904560"
"-236","0.6876417","0.5039459","0.5418111","0.6260451","0.6637447","0.7541886","0.7606660","0.6350729","0.6340151","0.5022228","0.3350057","0.5433256","0.7172970","0.6076025","0.7197288","0.6464781","0.5105392","0.7606660","0.4159411","0.4937310","0.4807837","0.7196715","0.6199729","0.7839422","0.6941944","0.5137532","0.5976944","0.7808696","0.7716431","0.4367877","0.6797045","0.6107820","0.6246670","0.5801092","0.7663462","0.5740319","0.7731620","0.5235273","0.5810990","0.6405936","0.4149691","0.5338635","0.7738190","0.4924866","0.5802062","0.6284102","0.7718360","0.5271145","0.5335189","0.4920546","0.8132145","0.3912394","0.6516611","0.7908802"
"-235","0.6880129","0.5042277","0.5418555","0.6265518","0.6637447","0.7546813","0.7604469","0.6366078","0.6356297","0.5013337","0.3343850","0.5431871","0.7160570","0.6084149","0.7203746","0.6478122","0.5113011","0.7606660","0.4177032","0.4938909","0.4814913","0.7199844","0.6203962","0.7843329","0.6951076","0.5140545","0.5977652","0.7800000","0.7718640","0.4378479","0.6805737","0.6105861","0.6238679","0.5801996","0.7664835","0.5741659","0.7739349","0.5239530","0.5822494","0.6416757","0.4169307","0.5336114","0.7738190","0.4934013","0.5781443","0.6283804","0.7725292","0.5273596","0.5338024","0.4920037","0.8128270","0.3912980","0.6519580","0.7915164"
"-234","0.6884252","0.5035231","0.5422554","0.6262985","0.6644460","0.7558722","0.7606112","0.6373753","0.6369752","0.5024768","0.3347988","0.5437875","0.7154371","0.6083294","0.7203746","0.6483458","0.5119783","0.7622268","0.4183250","0.4946674","0.4818893","0.7202190","0.6209042","0.7827701","0.6953686","0.5153459","0.5982849","0.7808696","0.7727473","0.4383779","0.6814429","0.6110757","0.6238679","0.5809234","0.7655220","0.5730939","0.7750942","0.5238220","0.5836652","0.6416757","0.4170816","0.5336573","0.7738190","0.4936626","0.5789691","0.6285296","0.7740147","0.5277519","0.5341117","0.4919018","0.8130207","0.3910637","0.6519310","0.7915164"
"-233","0.6888788","0.5019729","0.5423443","0.6262140","0.6653226","0.7564060","0.7602278","0.6377590","0.6369752","0.5033659","0.3344367","0.5438799","0.7168837","0.6086287","0.7184372","0.6483458","0.5117244","0.7611863","0.4180141","0.4947587","0.4819336","0.7197497","0.6209042","0.7835515","0.6943249","0.5158624","0.5992299","0.7817391","0.7736307","0.4381129","0.6823120","0.6109778","0.6236015","0.5813757","0.7660714","0.5740319","0.7753840","0.5246079","0.5845500","0.6436853","0.4173834","0.5339781","0.7747733","0.4936626","0.5802062","0.6287087","0.7742127","0.5283648","0.5347303","0.4910360","0.8147646","0.3909466","0.6525787","0.7925769"
"-232","0.6906107","0.5018320","0.5419444","0.6266363","0.6651473","0.7565292","0.7609398","0.6381427","0.6377826","0.5032389","0.3340747","0.5444804","0.7166770","0.6087142","0.7190830","0.6491462","0.5116397","0.7617066","0.4173922","0.4948501","0.4815798","0.7199061","0.6213699","0.7851143","0.6947162","0.5162929","0.5998205","0.7826087","0.7734099","0.4383779","0.6823120","0.6107820","0.6232463","0.5818582","0.7667582","0.5745679","0.7762535","0.5248043","0.5855234","0.6436853","0.4172325","0.5342990","0.7754096","0.4922253","0.5806186","0.6291565","0.7752030","0.5282667","0.5350138","0.4910360","0.8161209","0.3912980","0.6533074","0.7934252"
"-231","0.6911880","0.5022548","0.5424331","0.6272274","0.6660238","0.7570631","0.7611589","0.6400614","0.6361679","0.5029849","0.3343333","0.5440185","0.7172970","0.6097405","0.7200517","0.6483458","0.5118090","0.7637877","0.4168740","0.4955352","0.4820220","0.7202190","0.6218779","0.7853096","0.6954990","0.5167664","0.6005055","0.7834783","0.7742933","0.4397032","0.6814429","0.6106840","0.6241343","0.5823105","0.7666209","0.5742999","0.7762535","0.5241167","0.5859658","0.6443036","0.4169307","0.5349178","0.7763639","0.4924866","0.5814433","0.6295147","0.7754011","0.5284874","0.5353231","0.4910360","0.8165084","0.3914444","0.6537392","0.7942736"
